activity_id,mission_name,age_range,age_label,focus,difficulty,duration_min,family_mode,featured,activity_manager_id,real_world_trigger,practical_benefit,family_outcome_next_step,learning_objective
pack-digital-backpack,Pack Your Digital Backpack,5-8,Little Explorers,Safe sharing,Beginner,5,Play together,true,sorting,"Game sign-up asks for name, school, and home address","Child learns share / ask first / keep private before filling online forms","Check one favourite app's sign-up questions together","Help younger children tell the difference between friendly facts and private details"
traffic-light-safety,Traffic Light: Safe or Not?,5-8,Little Explorers,Safe sharing,Beginner,6,Play together,false,maze,"Prize scam: send your address to claim a reward","Shared red/yellow/green language so kids pause under pressure","Place a traffic-light reminder near the main family device","Build a simple family language for stop, slow down, and ask for help online"
secret-keeper-club,Secret Keeper Club,5-8,Little Explorers,Account security,Beginner,6,Play together,true,connectdots,"Friend asks for tablet or account password","Passwords treated like house keys; less credential sharing","Review one child account password together","Introduce passwords as family-only secrets that protect trusted spaces and devices"
trusted-adults-online,Who Can I Talk To Online?,5-8,Little Explorers,Safe sharing,Beginner,7,Talk together,false,coloring,"Stranger in-game chat asks where you live","Clear path: log off and tell a trusted adult; less grooming risk","Save child's safe grown-ups list where they can find it quickly","Help children recognise when online contacts are trusted helpers and when they are strangers"
my-info-collage,My Public & Private Collage,5-8,Little Explorers,Digital footprint,Beginner,8,Play together,false,memory,"Class or school site asks what to publish about the child","Understands digital footprint starts with small public facts","Spot one profile detail to keep private going forward","Show that every post or profile shares pieces of a child's digital footprint"
permission-please,Permission Please!,5-8,Little Explorers,Safe sharing,Beginner,6,Talk together,false,wordsearch,"Parent wants to post a photo of child and friend","Consent before posting; respects no and reduces friendship friction","Choose one written family rule for photo sharing","Teach children that privacy includes asking before posting pictures, videos, or messages"
digital-footprint-trail,Digital Footprint Trail,9-12,Privacy Detectives,Digital footprint,Intermediate,10,Talk together,true,digital-footprint,"Years of daily Roblox/YouTube—what do platforms know?","Sees apps build profiles over time; motivates settings review","Open privacy settings on one heavily used app","Help children recognise that apps build profiles from the information they collect over time"
phishing-patrol,Phishing Patrol,9-12,Privacy Detectives,Spotting scams,Intermediate,10,Play together,true,phishing-detective,"Free Robux or prize—log in via message link","Pause on urgency and rewards; open official sites not message links","Practice opening a trusted website without clicking links","Teach families to slow down, check the sender, and avoid urgent scam messages"
app-permission-inspector,App Permission Inspector,9-12,Privacy Detectives,Privacy settings,Intermediate,8,Talk together,false,privacy-settings,"New game requests location, contacts, and microphone","Questions whether an app really needs each permission","Turn off at least one unnecessary permission on a real app","Help children question whether an app really needs the data or device access it requests"
privacy-settings-pro,Privacy Settings Pro,9-12,Privacy Detectives,Privacy settings,Intermediate,12,Talk together,false,privacy-settings,"First Instagram or social account after parent approval","Private account and safer defaults before first post","Schedule monthly 10-minute privacy-settings review","Build confidence changing privacy settings before a child starts a new social or gaming account"
screenshot-safety,Screenshot Safety Challenge,9-12,Privacy Detectives,Digital footprint,Intermediate,8,Talk together,false,safe-unsafe,"Classmate forwards screenshot into group chat","Screenshot chains create lasting footprint; reduces bullying-by-forwarding","Family pause phrase: Would I share this if everyone could see it?","Show how screenshots can turn private moments into lasting digital footprints"
password-strength-lab,Password Strength Lab,9-12,Privacy Detectives,Account security,Intermediate,9,Play together,false,password-strength,"School password found in a data breach","Passphrases and no reuse; less account takeover","Upgrade one important family account password","Teach families how to build strong, memorable passwords without reusing them everywhere"
password-fortress-builder,Password Fortress Builder,13-17,Digital Citizens,Account security,Advanced,15,Teen-led reflection,true,password-fortress,"One hacked account; same password on many services","Password manager and 2FA; limits cascade breaches","Enable 2FA on one critical account; store backup codes safely","Help teens create a realistic account security plan they will actually keep using"
online-reputation-audit,Online Reputation Audit,13-17,Digital Citizens,Digital footprint,Advanced,12,Teen-led reflection,true,social-media-audit,"Employer or college searches teen's name before interview","Knows what search results show; can edit before applications","Improve or archive one public profile or search result","Show teens how digital reputation affects opportunities long after a post is shared"
data-broker-discovery,Data Broker Discovery,13-17,Digital Citizens,Digital footprint,Advanced,15,Talk together,false,digital-footprint,"People-search site lists home address, family, income","Understands broker opt-out; reduces stalking and fraud exposure","Document opt-out steps for one broker site","Reveal how public records and commercial data create detailed family profiles online"
privacy-rights-challenge,Privacy Rights Challenge,13-17,Digital Citizens,Digital rights,Advanced,12,Talk together,false,digital-rights,"School shares assessment data with third-party tutoring app","Uses COPPA/GDPR/FERPA framing to challenge over-collection","Check one app's deletion, consent, and data-access policy","Help teens connect privacy laws to their real rights at school, online, and in everyday apps"
social-media-simulator,Social Media Privacy Simulator,13-17,Digital Citizens,Safe sharing,Advanced,18,Teen-led reflection,false,social-simulator,"Party photo causes school drama days later","Practices audience, location tags, and deletion limits safely","Review location-sharing on one social app","Give teens a safe space to practise high-pressure sharing decisions before they happen for real"
ai-and-your-privacy,AI & Your Privacy,13-17,Digital Citizens,Digital footprint,Advanced,10,Talk together,false,privacy-decoder,"Pasting friend's essay into ChatGPT for feedback","Treats AI prompts as potentially public; avoids leaking others' PII","Review one AI tool's privacy settings and history","Help teens treat AI prompts like public submissions unless they know the privacy settings and limits"
